DETAILED ANALYSIS RESULTS
Generated: 2025-11-19 18:13:28.399991
================================================================================

Method: zFold_uniref90_m2
Directory: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/zFold_uniref90_output_m2
Total predictions: 73
Average time: 437.43 minutes
Total time: 31932.58 minutes (532.21 hours)

Individual predictions:
  6L39_A: 0.00 minutes
  6M4P_A: 0.00 minutes
  6M4S_A: 0.00 minutes
  6T1T_A: 2618.18 minutes
  6VBN_A: 0.00 minutes
  6VBY_A: 2606.88 minutes
  6VXV_A: 0.00 minutes
  6VZA_A: 0.00 minutes
  6VZB_A: 0.00 minutes
  6XA2_A: 0.00 minutes
  6XA3_A: 0.00 minutes
  7AO7_A: 0.00 minutes
  7AYX_A: 0.00 minutes
  7DI3_A: 0.00 minutes
  7DVO_A: 0.00 minutes
  7EGN_A: 0.00 minutes
  7OQ6_A: 0.00 minutes
  7OW9_A: 0.00 minutes
  7P5T_A: 0.00 minutes
  7QKE_A: 0.00 minutes
  7R1I_A: 0.00 minutes
  7SHI_A: 0.00 minutes
  7SUX_A: 2623.60 minutes
  7TEF_A: 0.00 minutes
  7TLO_A: 0.00 minutes
  7TTB_A: 0.00 minutes
  7TTO_A: 0.00 minutes
  7V40_A: 0.00 minutes
  7WDD_A: 0.00 minutes
  7WDE_A: 0.00 minutes
  7WZL_A: 2582.59 minutes
  7X53_A: 0.00 minutes
  7XBM_A: 0.00 minutes
  7Y0P_A: 0.00 minutes
  7Y0R_A: 0.00 minutes
  7Y9J_A: 0.00 minutes
  7YD9_A: 1911.71 minutes
  7YDA_A: 1719.05 minutes
  7YDB_A: 1631.19 minutes
  7YDC_A: 1571.85 minutes
  7YDD_A: 1470.70 minutes
  7YDE_A: 1371.78 minutes
  7YDL_A: 1303.83 minutes
  7YFT_A: 1236.05 minutes
  8A6W_B: 0.00 minutes
  8CKN_A: 0.00 minutes
  8EOH_A: 2325.34 minutes
  8F91_A: 0.00 minutes
  8GK3_A: 2194.25 minutes
  8GTL_A: 0.00 minutes
  8HG9_A: 0.00 minutes
  8HNY_A: 0.00 minutes
  8HO1_A: 0.00 minutes
  8HOU_A: 0.00 minutes
  8JNP_A: 0.00 minutes
  8JRL_A: 0.00 minutes
  8JUA_A: 0.00 minutes
  8K1X_A: 0.00 minutes
  8Q2F_A: 2147.46 minutes
  8Q5J_A: 0.00 minutes
  8Q6X_A: 0.00 minutes
  8Q6Z_A: 0.00 minutes
  8QZE_A: 0.00 minutes
  8QZF_A: 0.00 minutes
  8SPC_A: 0.00 minutes
  8SWL_A: 0.00 minutes
  8TWU_A: 0.00 minutes
  8W72_A: 0.00 minutes
  8W7G_A: 0.00 minutes
  8YHN_A: 0.00 minutes
  9CJG_A: 0.00 minutes
  9EF0_A: 2618.04 minutes
  9JQM_A: 0.00 minutes

================================================================================

Method: AF2_uniref90
Directory: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/AF2_uniref90_output
Total predictions: 57
Average time: 0.00 minutes
Total time: 0.00 minutes (0.00 hours)

Individual predictions:
  6L39_A: 0.00 minutes
  6M4P_A: 0.00 minutes
  6M4S_A: 0.00 minutes
  6VBN_A: 0.00 minutes
  6VBY_A: 0.00 minutes
  6VXV_A: 0.00 minutes
  6VZB_A: 0.00 minutes
  6XA2_A: 0.00 minutes
  6XA3_A: 0.00 minutes
  7AO7_A: 0.00 minutes
  7AYX_A: 0.00 minutes
  7DI3_A: 0.00 minutes
  7DVO_A: 0.00 minutes
  7OW9_A: 0.00 minutes
  7P5T_A: 0.00 minutes
  7QKE_A: 0.00 minutes
  7R1I_A: 0.00 minutes
  7SHI_A: 0.00 minutes
  7SUX_A: 0.00 minutes
  7TEF_A: 0.00 minutes
  7TLO_A: 0.00 minutes
  7TTB_A: 0.00 minutes
  7TTO_A: 0.00 minutes
  7WDD_A: 0.00 minutes
  7X53_A: 0.00 minutes
  7XBM_A: 0.00 minutes
  7Y0P_A: 0.00 minutes
  7YD9_A: 0.00 minutes
  7YDB_A: 0.00 minutes
  7YDD_A: 0.00 minutes
  7YDL_A: 0.00 minutes
  7YFT_A: 0.00 minutes
  8A6W_B: 0.00 minutes
  8CKN_A: 0.00 minutes
  8F91_A: 0.00 minutes
  8GK3_A: 0.00 minutes
  8GTL_A: 0.00 minutes
  8HG9_A: 0.00 minutes
  8HNY_A: 0.00 minutes
  8HO1_A: 0.00 minutes
  8HOU_A: 0.00 minutes
  8JUA_A: 0.00 minutes
  8K1X_A: 0.00 minutes
  8Q2F_A: 0.00 minutes
  8Q6X_A: 0.00 minutes
  8Q6Z_A: 0.00 minutes
  8QZE_A: 0.00 minutes
  8QZF_A: 0.00 minutes
  8SPC_A: 0.00 minutes
  8SWL_A: 0.00 minutes
  8TWU_A: 0.00 minutes
  8W72_A: 0.00 minutes
  8W7G_A: 0.00 minutes
  8YHN_A: 0.00 minutes
  9CJG_A: 0.00 minutes
  9EF0_A: 0.00 minutes
  9JQM_A: 0.00 minutes

================================================================================

Method: AF3
Directory: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/AF3_output
Total predictions: 73
Average time: 2.89 minutes
Total time: 210.94 minutes (3.52 hours)

Individual predictions:
  6L39_A: 2.42 minutes
  6M4P_A: 2.42 minutes
  6M4S_A: 2.44 minutes
  6T1T_A: 4.88 minutes
  6VBN_A: 2.36 minutes
  6VBY_A: 2.41 minutes
  6VXV_A: 2.41 minutes
  6VZA_A: 2.40 minutes
  6VZB_A: 2.36 minutes
  6XA2_A: 2.44 minutes
  6XA3_A: 2.40 minutes
  7AO7_A: 2.41 minutes
  7AYX_A: 2.43 minutes
  7DI3_A: 2.38 minutes
  7DVO_A: 2.46 minutes
  7EGN_A: 2.44 minutes
  7OQ6_A: 2.44 minutes
  7OW9_A: 2.43 minutes
  7P5T_A: 2.41 minutes
  7QKE_A: 2.42 minutes
  7R1I_A: 2.43 minutes
  7SHI_A: 2.37 minutes
  7SUX_A: 30.61 minutes
  7TEF_A: 2.45 minutes
  7TLO_A: 2.42 minutes
  7TTB_A: 2.41 minutes
  7TTO_A: 2.43 minutes
  7V40_A: 2.39 minutes
  7WDD_A: 2.46 minutes
  7WDE_A: 2.50 minutes
  7WZL_A: 2.53 minutes
  7X53_A: 2.39 minutes
  7XBM_A: 2.40 minutes
  7Y0P_A: 2.45 minutes
  7Y0R_A: 2.44 minutes
  7Y9J_A: 2.45 minutes
  7YD9_A: 2.58 minutes
  7YDA_A: 2.58 minutes
  7YDB_A: 2.52 minutes
  7YDC_A: 2.69 minutes
  7YDD_A: 2.43 minutes
  7YDE_A: 2.40 minutes
  7YDL_A: 2.41 minutes
  7YFT_A: 2.45 minutes
  8A6W_B: 2.43 minutes
  8CKN_A: 2.39 minutes
  8EOH_A: 2.45 minutes
  8F91_A: 2.38 minutes
  8GK3_A: 2.61 minutes
  8GTL_A: 2.40 minutes
  8HG9_A: 2.46 minutes
  8HNY_A: 2.40 minutes
  8HO1_A: 2.40 minutes
  8HOU_A: 2.43 minutes
  8JNP_A: 2.38 minutes
  8JRL_A: 2.41 minutes
  8JUA_A: 2.42 minutes
  8K1X_A: 2.40 minutes
  8Q2F_A: 2.63 minutes
  8Q5J_A: 2.43 minutes
  8Q6X_A: 2.43 minutes
  8Q6Z_A: 2.38 minutes
  8QZE_A: 2.44 minutes
  8QZF_A: 2.46 minutes
  8SPC_A: 2.43 minutes
  8SWL_A: 2.43 minutes
  8TWU_A: 2.43 minutes
  8W72_A: 2.43 minutes
  8W7G_A: 2.39 minutes
  8YHN_A: 2.43 minutes
  9CJG_A: 2.42 minutes
  9EF0_A: 4.88 minutes
  9JQM_A: 2.38 minutes

================================================================================

Method: SimpleFold_100M
Directory: /sugon_store/mahaohui/mahaohui/pocket_generation/ml-simplefold/evaluate/data/simplefold_100M
Total predictions: 51
Average time: 0.01 minutes
Total time: 0.33 minutes (0.01 hours)

Individual predictions:
  6l39_a_sampled_0: 0.01 minutes
  6t1t_a_sampled_0: 0.01 minutes
  6vbn_a_sampled_0: 0.01 minutes
  6vby_a_sampled_0: 0.01 minutes
  6vxv_a_sampled_0: 0.01 minutes
  6vza_a_sampled_0: 0.01 minutes
  6vzb_a_sampled_0: 0.01 minutes
  6xa2_a_sampled_0: 0.01 minutes
  7ao7_a_sampled_0: 0.01 minutes
  7dvo_a_sampled_0: 0.01 minutes
  7egn_a_sampled_0: 0.01 minutes
  7oq6_a_sampled_0: 0.01 minutes
  7ow9_a_sampled_0: 0.01 minutes
  7p5t_a_sampled_0: 0.01 minutes
  7qke_a_sampled_0: 0.01 minutes
  7r1i_a_sampled_0: 0.01 minutes
  7shi_a_sampled_0: 0.01 minutes
  7tlo_a_sampled_0: 0.01 minutes
  7v40_a_sampled_0: 0.01 minutes
  7wde_a_sampled_0: 0.01 minutes
  7x53_a_sampled_0: 0.01 minutes
  7y0p_a_sampled_0: 0.01 minutes
  7y0r_a_sampled_0: 0.01 minutes
  7yd9_a_sampled_0: 0.01 minutes
  7yda_a_sampled_0: 0.01 minutes
  7ydb_a_sampled_0: 0.01 minutes
  7ydc_a_sampled_0: 0.01 minutes
  7ydd_a_sampled_0: 0.01 minutes
  7yde_a_sampled_0: 0.01 minutes
  7ydl_a_sampled_0: 0.01 minutes
  7yft_a_sampled_0: 0.01 minutes
  8a6w_b_sampled_0: 0.01 minutes
  8ckn_a_sampled_0: 0.01 minutes
  8gk3_a_sampled_0: 0.01 minutes
  8gtl_a_sampled_0: 0.01 minutes
  8hny_a_sampled_0: 0.01 minutes
  8ho1_a_sampled_0: 0.01 minutes
  8hou_a_sampled_0: 0.01 minutes
  8jnp_a_sampled_0: 0.01 minutes
  8jrl_a_sampled_0: 0.01 minutes
  8jua_a_sampled_0: 0.01 minutes
  8q2f_a_sampled_0: 0.01 minutes
  8q5j_a_sampled_0: 0.01 minutes
  8q6x_a_sampled_0: 0.01 minutes
  8q6z_a_sampled_0: 0.01 minutes
  8qze_a_sampled_0: 0.01 minutes
  8qzf_a_sampled_0: 0.01 minutes
  8twu_a_sampled_0: 0.01 minutes
  8yhn_a_sampled_0: 0.01 minutes
  9cjg_a_sampled_0: 0.01 minutes
  9ef0_a_sampled_0: 0.01 minutes

================================================================================

