详细分析结果
生成时间: 2025-11-20 16:04:32.743543
================================================================================

方法: zFold_uniref90_m2
目录: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/zFold_uniref90_output_m2
总预测数: 73
平均时间: 441.1263 分钟
总时间: 32202.22 分钟 (536.70 小时)

单个预测详情:
  6L39_A: 4.3393 分钟
  6M4P_A: 4.2865 分钟
  6M4S_A: 4.4621 分钟
  6T1T_A: 2618.1813 分钟
  6VBN_A: 4.0215 分钟
  6VBY_A: 2607.0184 分钟
  6VXV_A: 4.3955 分钟
  6VZA_A: 4.3045 分钟
  6VZB_A: 4.2168 分钟
  6XA2_A: 4.5094 分钟
  6XA3_A: 4.9286 分钟
  7AO7_A: 4.4990 分钟
  7AYX_A: 4.4056 分钟
  7DI3_A: 4.3284 分钟
  7DVO_A: 4.5218 分钟
  7EGN_A: 5.2785 分钟
  7OQ6_A: 4.9054 分钟
  7OW9_A: 4.5138 分钟
  7P5T_A: 4.3354 分钟
  7QKE_A: 4.5887 分钟
  7R1I_A: 4.5704 分钟
  7SHI_A: 4.3034 分钟
  7SUX_A: 2623.6039 分钟
  7TEF_A: 5.0931 分钟
  7TLO_A: 4.3510 分钟
  7TTB_A: 5.8035 分钟
  7TTO_A: 5.8670 分钟
  7V40_A: 4.8499 分钟
  7WDD_A: 5.2634 分钟
  7WDE_A: 5.3667 分钟
  7WZL_A: 2582.7760 分钟
  7X53_A: 4.4363 分钟
  7XBM_A: 4.8059 分钟
  7Y0P_A: 5.3574 分钟
  7Y0R_A: 5.3597 分钟
  7Y9J_A: 5.2169 分钟
  7YD9_A: 1912.2027 分钟
  7YDA_A: 1719.3203 分钟
  7YDB_A: 1631.3092 分钟
  7YDC_A: 1571.9627 分钟
  7YDD_A: 1470.8063 分钟
  7YDE_A: 1371.8857 分钟
  7YDL_A: 1303.9389 分钟
  7YFT_A: 1236.2118 分钟
  8A6W_B: 4.5967 分钟
  8CKN_A: 4.2875 分钟
  8EOH_A: 2325.6538 分钟
  8F91_A: 4.5173 分钟
  8GK3_A: 2194.3495 分钟
  8GTL_A: 4.4167 分钟
  8HG9_A: 4.3033 分钟
  8HNY_A: 4.2987 分钟
  8HO1_A: 4.2039 分钟
  8HOU_A: 5.0571 分钟
  8JNP_A: 4.3238 分钟
  8JRL_A: 4.5801 分钟
  8JUA_A: 4.6836 分钟
  8K1X_A: 4.8970 分钟
  8Q2F_A: 2147.9202 分钟
  8Q5J_A: 4.2766 分钟
  8Q6X_A: 4.4853 分钟
  8Q6Z_A: 4.3252 分钟
  8QZE_A: 5.1765 分钟
  8QZF_A: 5.8118 分钟
  8SPC_A: 4.5054 分钟
  8SWL_A: 4.5543 分钟
  8TWU_A: 4.3904 分钟
  8W72_A: 4.6886 分钟
  8W7G_A: 5.3374 分钟
  8YHN_A: 4.4435 分钟
  9CJG_A: 4.5142 分钟
  9EF0_A: 2618.0420 分钟
  9JQM_A: 4.8792 分钟

================================================================================

方法: zFold_uniref90
目录: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/zFold_uniref90_output
总预测数: 73
平均时间: 1092.9746 分钟
